cve,cve_description
CVE-2018-20030,"
## CVE Details

ID: CVE-2018-20030
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: PSIRT-CNA@flexerasoftware.com
Published: 2019-02-20T17:29:00.820
Last Modified: 2024-11-21T04:00:47.613
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.8 (Exploitability: 10.0, Impact: 6.9)
Vector: [AV:N/AC:L/Au:N/C:N/I:N/A:C](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:N/I:N/A:C))

### Description

An error when processing the EXIF_IFD_INTEROPERABILITY and EXIF_IFD_EXIF tags within libexif version 0.6.21 can be exploited to exhaust available CPU resources.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-400]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:libexif_project:libexif:0.6.21:\*:\*:\*:\*:\*:\*:\*
"
CVE-2019-9278,"
## CVE Details

ID: CVE-2019-9278
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security@android.com
Published: 2019-09-27T19:15:19.060
Last Modified: 2024-11-21T04:51:20.630
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 8.8 (Exploitability: 2.8, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.8 (Exploitability: 8.6, Impact: 6.4)
Vector: [AV:N/AC:M/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:P/I:P/A:P))

### Description

In libexif, there is a possible out of bounds write due to an integer overflow. This could lead to remote escalation of privilege in the media content provider with no additional execution privileges needed. User interaction is needed for exploitation. Product: AndroidVersions: Android-10Android ID: A-112537774

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-190]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:google:android:10.0:\*:\*:\*:\*:\*:\*:\*

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:opensuse:leap:15.1:\*:\*:\*:\*:\*:\*:\*

#### Configuration 3 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:fedoraproject:fedora:31:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:fedoraproject:fedora:32:\*:\*:\*:\*:\*:\*:\*

#### Configuration 4 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:debian:debian_linux:8.0:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:debian:debian_linux:9.0:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:debian:debian_linux:10.0:\*:\*:\*:\*:\*:\*:\*

#### Configuration 5 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:12.04:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:19.10:\*:\*:\*:\*:\*:\*:\*
"
CVE-2020-13112,"
## CVE Details

ID: CVE-2020-13112
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2020-05-21T16:15:10.867
Last Modified: 2024-11-21T05:00:40.453
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.1 (Exploitability: 3.9, Impact: 5.2)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.4 (Exploitability: 10.0, Impact: 4.9)
Vector: [AV:N/AC:L/Au:N/C:P/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:P/I:N/A:P))

### Description

An issue was discovered in libexif before 0.6.22. Several buffer over-reads in EXIF MakerNote handling could lead to information disclosure and crashes. This is different from CVE-2020-0093.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-125]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:libexif_project:libexif:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.6.22 (Excluding)

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:debian:debian_linux:8.0:\*:\*:\*:\*:\*:\*:\*

#### Configuration 3 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:12.04:\*:\*:\*:-:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:19.10:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:20.04:\*:\*:\*:lts:\*:\*:\*

#### Configuration 4 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:opensuse:leap:15.1:\*:\*:\*:\*:\*:\*:\*
"
CVE-2020-13113,"
## CVE Details

ID: CVE-2020-13113
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2020-05-21T17:15:10.290
Last Modified: 2024-11-21T05:00:40.623
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 8.2 (Exploitability: 3.9, Impact: 4.2)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.4 (Exploitability: 10.0, Impact: 4.9)
Vector: [AV:N/AC:L/Au:N/C:P/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:P/I:N/A:P))

### Description

An issue was discovered in libexif before 0.6.22. Use of uninitialized memory in EXIF Makernote handling could lead to crashes and potential use-after-free conditions.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-908]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:libexif_project:libexif:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.6.22 (Excluding)

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:debian:debian_linux:8.0:\*:\*:\*:\*:\*:\*:\*

#### Configuration 3 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:12.04:\*:\*:\*:-:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:19.10:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:20.04:\*:\*:\*:lts:\*:\*:\*

#### Configuration 4 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:opensuse:leap:15.1:\*:\*:\*:\*:\*:\*:\*
"
CVE-2020-13114,"
## CVE Details

ID: CVE-2020-13114
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2020-05-21T16:15:10.930
Last Modified: 2024-11-21T05:00:40.790
Status: Modified

### Scores

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.0 (Exploitability: 10.0, Impact: 2.9)
Vector: [AV:N/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:N/I:N/A:P))

### Description

An issue was discovered in libexif before 0.6.22. An unrestricted size in handling Canon EXIF MakerNote data could lead to consumption of large amounts of compute time for decoding EXIF data.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-770]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:libexif_project:libexif:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.6.22 (Excluding)

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:canonical:ubuntu_linux:12.04:\*:\*:\*:-:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:14.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:16.04:\*:\*:\*:esm:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:18.04:\*:\*:\*:lts:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:19.10:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:canonical:ubuntu_linux:20.04:\*:\*:\*:lts:\*:\*:\*

#### Configuration 3 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:opensuse:leap:15.1:\*:\*:\*:\*:\*:\*:\*
"
CVE-2016-8884,"
## CVE Details

ID: CVE-2016-8884
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2017-03-28T14:59:00.297
Last Modified: 2026-05-13T00:24:29.033
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 4.3 (Exploitability: 8.6, Impact: 2.9)
Vector: [AV:N/AC:M/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:N/I:N/A:P))

### Description

The bmp_getdata function in libjasper/bmp/bmp_dec.c in JasPer 1.900.5 allows remote attackers to cause a denial of service (NULL pointer dereference) by calling the imginfo command with a crafted BMP image. NOTE: this vulnerability exists because of an incomplete fix for CVE-2016-8690.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-476]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:jasper_project:jasper:1.900.5:\*:\*:\*:\*:\*:\*:\*

#### Configuration 2 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:o:fedoraproject:fedora:23:\*:\*:\*:\*:\*:\*:\*
- cpe:2.3:o:fedoraproject:fedora:24:\*:\*:\*:\*:\*:\*:\*
"
CVE-2016-9390,"
## CVE Details

ID: CVE-2016-9390
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2017-03-23T18:59:00.693
Last Modified: 2026-05-13T00:24:29.033
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 4.3 (Exploitability: 8.6, Impact: 2.9)
Vector: [AV:N/AC:M/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:N/I:N/A:P))

### Description

The jas_seq2d_create function in jas_seq.c in JasPer before 1.900.14 allows remote attackers to cause a denial of service (assertion failure) via a crafted image file.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-20]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:jasper_project:jasper:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.900.13 (Including)
"
CVE-2016-10249,"
## CVE Details

ID: CVE-2016-10249
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2017-03-15T14:59:00.307
Last Modified: 2026-05-13T00:24:29.033
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.8 (Exploitability: 1.8, Impact: 5.9)
Vector: [CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.8 (Exploitability: 8.6, Impact: 6.4)
Vector: [AV:N/AC:M/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:P/I:P/A:P))

### Description

Integer overflow in the jpc_dec_tiledecode function in jpc_dec.c in JasPer before 1.900.12 allows remote attackers to have unspecified impact via a crafted image file, which triggers a heap-based buffer overflow.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-190]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:jasper_project:jasper:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.900.11 (Including)
"
CVE-2016-10251,"
## CVE Details

ID: CVE-2016-10251
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2017-03-15T14:59:00.387
Last Modified: 2026-05-13T00:24:29.033
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.8 (Exploitability: 1.8, Impact: 5.9)
Vector: [CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.8 (Exploitability: 8.6, Impact: 6.4)
Vector: [AV:N/AC:M/Au:N/C:P/I:P/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:M/Au:N/C:P/I:P/A:P))

### Description

Integer overflow in the jpc_pi_nextcprl function in jpc_t2cod.c in JasPer before 1.900.20 allows remote attackers to have unspecified impact via a crafted file, which triggers use of an uninitialized value.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-190]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:jasper_project:jasper:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.900.19 (Including)
"
CVE-2016-10248,"
## CVE Details

ID: CVE-2016-10248
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cve@mitre.org
Published: 2017-03-15T14:59:00.167
Last Modified: 2026-05-13T00:24:29.033
Status: Modified

### Scores

#### CVSS 3.0 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.0#CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.0 (Exploitability: 10.0, Impact: 2.9)
Vector: [AV:N/AC:L/Au:N/C:N/I:N/A:P](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:N/C:N/I:N/A:P))

### Description

The jpc_tsfb_synthesize function in jpc_tsfb.c in JasPer before 1.900.9 allows remote attackers to cause a denial of service (NULL pointer dereference) via vectors involving an empty sequence.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-476]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:jasper_project:jasper:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.900.8 (Including)
"
