cve	owner@@repo	reason
CVE-2021-4103	Vanessa219@@vditor	no_bm25_json
CVE-2022-0341	Vanessa219@@vditor	no_bm25_json
CVE-2022-0350	Vanessa219@@vditor	no_bm25_json
CVE-2024-4881	ParisNeo@@lollms	no_bm25_json
CVE-2024-4315	ParisNeo@@lollms	no_bm25_json
CVE-2024-5443	ParisNeo@@lollms	no_bm25_json
CVE-2024-6281	ParisNeo@@lollms	no_bm25_json
CVE-2024-3429	ParisNeo@@lollms	no_bm25_json
CVE-2024-4078	ParisNeo@@lollms	no_bm25_json
CVE-2024-6581	ParisNeo@@lollms	no_bm25_json
CVE-2022-0613	medialize@@URI.js	no_bm25_json
CVE-2022-0868	medialize@@URI.js	no_bm25_json
CVE-2022-1233	medialize@@URI.js	no_bm25_json
CVE-2022-1243	medialize@@URI.js	no_bm25_json
CVE-2022-2888	OctoPrint@@OctoPrint	no_bm25_json
CVE-2022-3068	OctoPrint@@OctoPrint	no_bm25_json
CVE-2022-2872	OctoPrint@@OctoPrint	no_bm25_json
CVE-2022-1432	OctoPrint@@OctoPrint	no_bm25_json
CVE-2022-3607	OctoPrint@@OctoPrint	no_bm25_json
CVE-2021-32855	Vanessa219@@vditor	cve_not_in_queries_pkl
CVE-2024-4330	ParisNeo@@lollms	cve_not_in_queries_pkl
CVE-2020-26291	medialize@@URI.js	cve_not_in_queries_pkl
CVE-2021-27516	medialize@@URI.js	cve_not_in_queries_pkl
CVE-2021-3647	medialize@@URI.js	cve_not_in_queries_pkl
CVE-2022-24723	medialize@@URI.js	cve_not_in_queries_pkl
CVE-2024-49377	OctoPrint@@OctoPrint	cve_not_in_queries_pkl
CVE-2024-23637	OctoPrint@@OctoPrint	cve_not_in_queries_pkl
CVE-2024-32977	OctoPrint@@OctoPrint	cve_not_in_queries_pkl
CVE-2023-41047	OctoPrint@@OctoPrint	cve_not_in_queries_pkl
CVE-2024-28237	OctoPrint@@OctoPrint	cve_not_in_queries_pkl
