cve,owner,repo,patch,commit_count,diff_tokens,ranker_rank,year,repo_size_bucket,diff_bucket,ranker_bucket,year_bucket,language,cwe_family
CVE-2018-20030,libexif,libexif,6aa11df549114ebda520dde4cdaea2f9357b2c89,1436,532,5,2018,1k-5k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-9278,libexif,libexif,75aa73267fdb1e0ebfbc00369e7312bac43d0566,1436,435,51,2019,1k-5k,<5k,top-11-100,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2020-13112,libexif,libexif,435e21f05001fb03f9f186fa7cbc69454afd00d1,1436,1569,7,2020,1k-5k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-13113,libexif,libexif,ec412aa4583ad71ecabb967d3c77162760169d1f,1436,191,9,2020,1k-5k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-13114,libexif,libexif,e6a38a1a23ba94d139b1fa2cd4519fdcfe3c9bab,1436,224,13,2020,1k-5k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-8884,mdadams,jasper,5d66894d2313e3f3469f19066e149e08ff076698,1424,525,1,2016,1k-5k,<5k,top-1,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2016-9390,mdadams,jasper,ba2b9d000660313af7b692542afbd374c5685865,1424,103,479,2016,1k-5k,<5k,>100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2016-10249,mdadams,jasper,988f8365f7d8ad8073b6786e433d34c553ecf568,1424,281,88,2016,1k-5k,<5k,top-11-100,2015-2017,C,CWE-682: Incorrect Calculation
CVE-2016-10251,mdadams,jasper,1f0dfe5a42911b6880a1445f13f6d615ddb55387,1424,391,1,2016,1k-5k,<5k,top-1,2015-2017,C,CWE-682: Incorrect Calculation
CVE-2016-10248,mdadams,jasper,2e82fa00466ae525339754bb3ab0a0474a31d4bd,1424,390,1,2016,1k-5k,<5k,top-1,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2016-9388,mdadams,jasper,411a4068f8c464e883358bf403a3e25158863823,1424,588,7,2016,1k-5k,<5k,top-2-10,2015-2017,C,CWE-691: Insufficient Control Flow Management
CVE-2017-6850,mdadams,jasper,e96fc4fdd525fa0ede28074a7e2b1caf94b58b0d,1424,1000,11,2017,1k-5k,<5k,top-11-100,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2016-9387,mdadams,jasper,d91198abd00fc435a397fe6bad906a4c1748e9cf,1424,98,33,2016,1k-5k,<5k,top-11-100,2015-2017,C,CWE-682: Incorrect Calculation
CVE-2016-8887,mdadams,jasper,e24bdc716c3327b067c551bc6cfb97fd2370358d,1424,158,5,2016,1k-5k,<5k,top-2-10,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2016-8654,mdadams,jasper,4a59cfaf9ab3d48fca4a15c0d2674bf7138e3d1a,1424,501,2,2016,1k-5k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2010-1152,memcached,memcached,d9cd01ede97f4145af9781d448c62a3318952719,2196,57,99,2010,1k-5k,<5k,top-11-100,2009-2011,C,CWE-707: Improper Neutralization
CVE-2018-1000115,memcached,memcached,dbb7a8af90054bf4ef51f5814ef7ceb17d83d974,2196,230,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-1000127,memcached,memcached,a8c4a82787b8b6c256d61bd5c42fb7f92d1bae00,2196,131,193,2018,1k-5k,<5k,>100,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2019-11596,memcached,memcached,d35334f368817a77a6bd1f33c6a5676b2c402c02,2196,118,5,2019,1k-5k,<5k,top-2-10,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-15026,memcached,memcached,554b56687a19300a75ec24184746b5512580c819,2196,253,27,2019,1k-5k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-10931,memcached,memcached,02c6a2b62ddcb6fa4569a591d3461a156a636305,2196,105,3,2020,1k-5k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-6016,ValveSoftware,GameNetworkingSockets,e0c86dcb9139771db3db0cfdb1fb8bef0af19c43,1385,402,50,2020,1k-5k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-6017,ValveSoftware,GameNetworkingSockets,e0c86dcb9139771db3db0cfdb1fb8bef0af19c43,1385,402,4,2020,1k-5k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-6018,ValveSoftware,GameNetworkingSockets,bea84e2844b647532a9b7fbc3a6a8989d66e49e3,1385,235,16,2020,1k-5k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-6019,ValveSoftware,GameNetworkingSockets,d944a10808891d202bb1d5e1998de6e0423af678,1385,95,41,2020,1k-5k,<5k,top-11-100,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2021-36084,SELinuxProject,selinux,f34d3d30c8325e4847a6b696fe7a3936a8a361f3,3917,33,2,2021,1k-5k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-36085,SELinuxProject,selinux,2d35fcc7e9e976a2346b1de20e54f8663e8a6cba,3917,38,329,2021,1k-5k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-36086,SELinuxProject,selinux,c49a8ea09501ad66e799ea41b8154b6770fec2c8,3917,50,2,2021,1k-5k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-36087,SELinuxProject,selinux,340f0eb7f3673e8aacaf0a96cbfcd4d12a405521,3917,382,2,2021,1k-5k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-15853,xkbcommon,libxkbcommon,1f9d1248c07cda8aaff762429c0dce146de8632a,2340,44,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-15854,xkbcommon,libxkbcommon,e3cacae7b1bfda0d839c280494f23284a1187adf,2340,313,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2018-15855,xkbcommon,libxkbcommon,917636b1d0d70205a13f89062b95e3a0fc31d4ff,2340,146,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2018-15856,xkbcommon,libxkbcommon,842e4351c2c97de6051cab6ce36b4a81e709a0e1,2340,50,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2018-15857,xkbcommon,libxkbcommon,c1e5ac16e77a21f87bdf3bc4dea61b037a17dddb,2340,34,14,2018,1k-5k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-15858,xkbcommon,libxkbcommon,badb428e63387140720f22486b3acbd3d738859f,2340,82,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2018-15859,xkbcommon,libxkbcommon,bb4909d2d8fa6b08155e449986a478101e2b2634,2340,81,88,2018,1k-5k,<5k,top-11-100,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2018-15861,xkbcommon,libxkbcommon,38e1766bc6e20108948aec8a0b222a4bad0254e9,2340,49,1,2018,1k-5k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2018-15862,xkbcommon,libxkbcommon,4e2ee9c3f6050d773f8bbe05bc0edb17f1ff8371,2340,42,45,2018,1k-5k,<5k,top-11-100,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
